Timestamp,Start Point,End Point,Optimal Route,Number of Steps,Travel Time (s)
2025-07-05 16:16:16,A,C,A -> B -> C,2,10
2025-07-05 16:17:02,A,G,A -> B -> C -> G,3,15
2025-07-05 16:17:19,D,G,D -> H -> G,2,10
2025-07-05 16:19:25,A,L,A -> B -> C -> G -> H -> L,5,25
2025-07-05 16:20:21,A,E,A -> B -> F -> J -> I -> E,5,25
2025-07-05 16:31:48,D,F,D -> H -> G -> C -> B -> F,5,25
2025-07-05 16:34:10,D,G,D -> H -> G,2,10
2025-07-05 16:34:23,D,L,D -> H -> L,2,10
2025-07-05 16:34:34,A,L,A -> B -> C -> G -> H -> L,5,25
2025-07-05 16:34:53,F,L,F -> J -> K -> L,3,15
2025-07-05 16:35:06,F,D,F -> B -> C -> G -> H -> D,5,25
2025-07-05 16:36:29,L,D,L -> H -> D,2,10
2025-07-05 16:36:39,K,D,K -> L -> H -> D,3,15
2025-07-05 16:36:49,H,D,H -> D,1,5
2025-07-05 16:41:42,E,A,E -> I -> J -> F -> B -> A,5,25
2025-07-05 16:42:29,F,D,F -> B -> C -> G -> H -> D,5,25
2025-07-05 16:43:31,A,F,A -> B -> F,2,10
2025-07-05 16:44:02,A,K,A -> B -> F -> J -> K,4,20
2025-07-05 16:51:30,A,F,A -> B -> F -> J -> I -> E -> I -> J -> F,8,40
2025-07-05 16:52:05,A,F,A -> B -> F -> J -> I -> E -> I -> J -> F,8,40
2025-07-05 16:52:29,A,F,A -> B -> F -> J -> I -> E -> I -> J -> F,8,40
2025-07-05 17:12:13,C,A,C -> G -> H -> D -> H -> G -> C -> B -> A,8,40
2025-07-05 17:15:02,D,A,D -> H -> G -> C -> B -> A,5,25
2025-07-05 17:15:19,A,F,A -> B -> C -> G -> H -> D -> H -> G -> C -> B -> F,10,50
2025-07-05 17:16:16,A,C,A -> B -> C,2,10
2025-07-05 17:18:15,F,G,F -> B -> A -> B -> C -> G,5,25
2025-07-05 17:21:49,D,A,D -> H -> G -> C -> B -> A,5,25
2025-07-05 17:22:06,A,D,A -> B -> F -> B -> C -> G -> H -> D,7,35
2025-07-05 17:25:51,D,C,D -> H -> G -> C -> B -> A -> B -> C,7,35
2025-07-05 17:35:01,C,A,C -> B -> A,2,10
2025-07-05 17:36:46,F,E,F -> B -> A -> B -> F -> J -> I -> E,7,35
2025-07-05 17:36:55,E,A,E -> I -> J -> F -> B -> A,5,25
2025-07-05 18:00:52,D,E,D -> H -> L -> K -> J -> I -> E,6,30
2025-07-05 18:01:09,E,F,E -> I -> J -> F -> B -> A -> B -> F,7,35
2025-07-05 18:03:41,C,D,C -> B -> A -> B -> C -> G -> H -> D,7,35
2025-07-05 18:03:58,D,B,D -> H -> G -> C -> B,4,20
2025-07-05 18:07:29,A,F,A -> B -> C -> G -> C -> B -> F,6,30
2025-07-05 18:28:40,C,A,C -> G -> H -> D -> H -> G -> C -> B -> A,8,40
